title,description,text,date,language
ILO chief says pandemic's impact on work is 'cataclysmic' - Reuters,"The head of the International Labour Organization on Monday described the impact of the COVID-19 pandemic on the world of work as ""cataclysmic"" and much worse than that of the 2008 financial crisis.","By Reuters Staff
GENEVA, June 7 (Reuters) - The head of the International Labour Organization on Monday described the impact of the COVID-19 pandemic on the world of work as cataclysmic and much wor… [+430 chars]",2021-06-07,en
G7: Boris Johnson appears to repudiate Tory austerity at summit opening,PM tells world leaders it is vital not to repeat the mistakes of the 2008 crash and entrench inequality<ul><li>G7 summit: latest news and reaction</li></ul>Boris Johnson has told his fellow G7 leaders in Cornwall they should avoid repeating the mistakes of 20…,"Boris Johnson has told his fellow G7 leaders in Cornwall they should avoid repeating the mistakes of 2008, when the recovery from the deep recession that followed the financial crisis entrenched ineq… [+4693 chars]",2021-06-11,en
Key Digital Wealth Managers: How robo-advisors present an opportunity for fintechs and incumbents alike,"Digital wealth managers, also called robo-advisors, came into existence after the financial crisis in 2008, when fintechs aimed to simplify and democratize wealth management services with technology-first solutions.","Digital wealth managers, also called robo-advisors, came into existence after the financial crisis in 2008, when fintechs aimed to simplify and democratize wealth management services with technology-… [+636 chars]",2021-06-15,en
U.S. Supreme Court tosses class action ruling against Goldman Sachs - Reuters,The U.S. Supreme Court on Monday handed a victory to Goldman Sachs Group Inc (GS.N) in its bid to avoid an investor class action lawsuit accusing the bank of hiding conflicts of interest when creating risky subprime securities before the 2008 financial crisis.,"The Goldman Sachs company logo is seen in the company's space on the floor of the New York Stock Exchange, (NYSE) in New York, U.S., April 17, 2018. REUTERS/Brendan McDermidJune 21 (Reuters) - The U.… [+3019 chars]",2021-06-21,en
Icelandic bank’s rebirth is reassuringly prudent - Reuters,"Icelandic banking has an ominous history. The North Atlantic country’s three largest lenders, Kaupthing, Landsbanki and Glitnir, more than doubled their assets in 2004, and again in 2005, only to fail simultaneously in 2008. Íslandsbanki, a state-owned group …","LONDON (Reuters Breakingviews) - Icelandic banking has an ominous history. The North Atlantic countrys three largest lenders, Kaupthing, Landsbanki and Glitnir, more than doubled their assets in 2004… [+3509 chars]",2021-06-09,en
UPDATE 1-Businesswoman Amanda Staveley's appeal refused in Barclays case - Reuters,"Businesswoman Amanda Staveley's appeal to overturn a court's verdict against her in her case against Barclays has been refused, a court filing seen by Reuters on Monday showed.","LONDON (Reuters) -Businesswoman Amanda Staveleys appeal to overturn a courts verdict against her in her case against Barclays has been refused, a court filing seen by Reuters on Monday showed.
A Lon… [+1350 chars]",2021-06-07,en
Ride a Green Swan: central banks grapple with climate risk - Reuters,"The world's top central bankers agreed on Friday they had a clear role to play in tackling climate change and stepped up calls for banks, companies and others to be required to declare their exposure to the looming crisis.","The world's top central bankers agreed on Friday they had a clear role to play in tackling climate change and stepped up calls for banks, companies and others to be required to declare their exposure… [+5394 chars]",2021-06-04,en
A 22-year Wall Street veteran who is now the CEO of a crypto bank told us how the 2008 global financial crisis led her to bitcoin — and breaks down where the real value of cryptocurrencies lies today,"Summary List PlacementNow that cryptocurrencies have become a trillion-dollar force to be reckoned with, Wall Street is eager to get in on the action.
But long ago, in the dawn of bitcoin's creation, there were already many bitcoin enthusiasts inside the big …","Now that cryptocurrencies have become a trillion-dollar force to be reckoned with, Wall Street is eager to get in on the action.
But long ago, in the dawn of bitcoin's creation, there were already m… [+5939 chars]",2021-06-05,en
COLUMN-Only half time in public debt match: Mike Dolan - Reuters,"That appears to be as true for post-pandemic world economic policy and financial markets as for the European football championships now underway. Approaching mid-year in 2021, investors are still not convinced how the game will end up.","(The author is editor-at-large for finance and markets at Reuters News. Any views expressed here are his own)
LONDON, June 25 (Reuters) - Nothing is decided at half time.
That appears to be as true… [+5620 chars]",2021-06-25,en
ANALYSIS-Ghosts of crises past haunt policymakers and markets - Reuters,ANALYSIS-Ghosts of crises past haunt policymakers and markets  Reuters,"* Feds hawkish shift highlights risk of early stimulus withdrawal
* Premature tightening derailed recovery after financial crisis
* But governments now emphasising continued support
LONDON, July 1… [+5237 chars]",2021-07-01,en
